post_pt_root_id,DL2d_R,VC2_L,VA6_L,DC3_R,VM6_L,VP2_R,DL4_L,VM4_L,VA4_L,DC1_R,DA4m_R,VM7v_R,DM5_R,DA1_R,VC4_L,VL2a_R,VL1_R,DM1_R,VP4_R,D_R,VM5v_R,DP1m_R,VP1d_L,VA2_L,VM2_L,VP1l_R,VA7m_L,VL2p_L,DM3_R,VA1d_R,DA3_R,DA4l_R,VA5_L,DL5_L,VM7d_L,DM4_R,VC1_L,DL2v_L,VC3_L,DM6_R,VP3_R,DC2_R,DL3_L,VA7l_L,VM3_L,VP1m_R,VA3_L,DA2_R,DM2_R,VA1v_L,VC5_L,DP1l_R,DC4_R,VM5d_L,V_L,DL1_L,VP5_R,VM1_L,DA4l_L,VA5_R,DL5_R,VM7d_R,DM4_L,VC1_R,DL2v_R,VC3_R,DM6_L,VP3_L,DC2_L,VA7l_R,DL3_R,VM3_R,VP1m_L,VA3_R,DA2_L,DM2_L,VA1v_R,VC5_R,DP1l_L,DC4_L,V_R,VM5d_R,DL1_R,VP5_L,VM1_R,DL2d_L,VC2_R,VA6_R,DC3_L,VM6_R,VP2_L,DL4_R,VM4_R,VA4_R,DC1_L,DA4m_L,VM7v_L,DM5_L,DA1_L,VC4_R,VL2a_L,VL1_L,DM1_L,VP4_L,VM5v_L,D_L,DP1m_L,VP1d_R,VA2_R,VM2_R,VP1l_L,VA7m_R,VL2p_R,DM3_L,VA1d_L,DA3_L
720575940631469964,0,0,2,0,16,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,12,0,0,15,12,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,9,0,0,0,7,0,0,0,0,0,55,0,0,9,0,0,5,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,18,0,2,0,0,0,0,0,4,12,4,0,11,0,0,0,111,0,0,0,0,0
720575940631801671,0,2,0,0,12,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,49,0,11,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,105,7,0,0,1,0,0,0,21,0,0,0,0,5,14,0,0,0,262,0,46,8,0,0,0,36,0,0,0,14,0,0,0,0,1,0,27,0,0,0,8,0,43,0,0,0,0,31,11,33,0,0,0,0,0,0,370,0,0,0,0,0
720575940632128908,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720575940633074145,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720575940633356883,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720575940633552028,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
720575940634035863,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,20,0,0,0,0,0
720575940635066975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
720575940635838606,0,3,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,5,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,98,0,0,1,0,3
720575940636167280,0,8,0,0,17,0,0,3,11,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,14,0,0,2,0,0,0,0,11,0,0,0,0,111,0,0,0,0,32,0,0,0,0,0,0,1,0,0,0,178,0,0,0,0,0,0,326,0,0,0,0,0,0,0,5,0,5,30,0,54,0,0,0,0,0,0,62,0,0,0,0,0
720575940636401776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,91,0,0,0,0,0
720575940637185252,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
720575940637449023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,19,0,0,0,0,0
720575940637712243,0,0,0,0,0,121,0,2,0,0,0,0,0,0,0,0,76,0,347,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,138,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,37,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,30,0,159,0,0,0,0,0,0,1,0,2,0,0,0
720575940638149744,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
720575940638288447,0,0,0,60,0,31,0,0,0,0,9,0,0,4,0,15,33,0,10,1,0,0,0,0,0,32,0,0,0,302,1,47,0,0,0,0,0,0,0,0,278,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,94,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,287,0,0,0,3,0,20,0,0,0,2,16,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,22,0,0,0
720575940638778165,2,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,6,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,0,0,54,23,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
720575940639202467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
720575940639594611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
720575940640477603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,94,0,0,0,0,0
720575940644238871,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,19,0,0,0,41,0,0,0,0,0,2,7,0,0,0,0,0,0,0,11,1,0,72,27,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
720575940646661252,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,26,43,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,1,0,8,0,0,0,231,0,0,0,0,0
720575940648206468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
720575940659611777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1227,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0
