pre_pt_root_id,id,post_pt_root_id,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,post_pt_position_x,post_pt_position_y,post_pt_position_z,pre_pt_position_x,pre_pt_position_y,pre_pt_position_z,DA1_L,DA1_R,DA2_L,DA2_R,DA3_L,DA3_R,DA4l_L,DA4l_R,DA4m_L,DA4m_R,DC1_L,DC1_R,DC2_L,DC2_R,DC3_L,DC3_R,DC4_L,DC4_R,DL1_L,DL1_R,DL2d_L,DL2d_R,DL2v_L,DL2v_R,DL3_L,DL3_R,DL4_L,DL4_R,DL5_L,DL5_R,DM1_L,DM1_R,DM2_L,DM2_R,DM3_L,DM3_R,DM4_L,DM4_R,DM5_L,DM5_R,DM6_L,DM6_R,DP1l_L,DP1l_R,DP1m_L,DP1m_R,D_L,D_R,VA1d_L,VA1d_R,VA1v_L,VA1v_R,VA2_L,VA2_R,VA3_L,VA3_R,VA4_L,VA4_R,VA5_L,VA5_R,VA6_L,VA6_R,VA7l_L,VA7l_R,VA7m_L,VA7m_R,VC1_L,VC1_R,VC2_L,VC2_R,VC3_L,VC3_R,VC4_L,VC4_R,VC5_L,VC5_R,VL1_L,VL1_R,VL2a_L,VL2a_R,VL2p_L,VL2p_R,VM1_L,VM1_R,VM2_L,VM2_R,VM3_L,VM3_R,VM4_L,VM4_R,VM5d_L,VM5d_R,VM5v_L,VM5v_R,VM6_L,VM6_R,VM7d_L,VM7d_R,VM7v_L,VM7v_R,VP1d_L,VP1d_R,VP1l_L,VP1l_R,VP1m_L,VP1m_R,VP2_L,VP2_R,VP3_L,VP3_R,VP4_L,VP4_R,VP5_L,VP5_R,V_L,V_R
720575940617918603,1031276666,5044031584358866408,1151.1897392272958,995,2.1647868640720835,2.64533930644393,1.8001198808633483,0.008310630396737718,0.12484163169506238,0.25660146664449723,3282468,1819060,618040,3282288,1819192,618080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0
720575940617986345,137778672552,4179340749850744609,384097.93181324005,192646,31.48315268207897,1311.093705435311,6.2297831130561425,2.809918938926023,42.4053414765168,70.97809621736161,683762284,357585576,94702400,683770596,357592488,94706640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,428,0,50,0,0,0,0,0,12,0,0,0,3
720575940617987113,122413344059,-4035225045341006671,297632.1614017487,151022,55.194091575162,904.2365675214678,26.544851835173226,1.4547526174682321,84.46496673308135,100.10476750272936,541795820,295942092,90674800,541798476,295934376,90680600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,255,0,142,0,0,0,0
720575940618021755,9310406357,-5332261936056053123,14445.465811252594,12729,17.415504439733922,53.79249450447969,17.03791201192462,0.08108671939015366,1.7054206406064583,4.967580655706115,43200176,24837236,8374960,43199284,24837652,8375280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,1,0,0
720575940618428830,186970116,2882303762520048946,387.6918163299564,569,0.9657881632447239,1.6609139069914824,1.1124457367695866,0.001863256126853139,0.044702284038066795,0.2142865611240268,2370200,1077700,292240,2370184,1077780,292240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
720575940618552443,221369184,5764607525006992757,953.077491760253,1003,7.243983030319214,0.1344760974170639,0.035577187314629194,1.7030504044196468e-05,0.1189255546487401,0.4670210960321129,4611852,2112260,400520,4611344,2111996,400480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720575940618561403,5548161020,-864691116514302006,9118.873136997225,6613,17.43979956419207,12.922525612317258,2.304605070472461,0.008140262022592406,8.214365580170123,9.110563909518532,23587468,12567736,3675640,23587788,12568284,3676160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,15,0,6,0,0,0,2,0,0,0,0
720575940619007664,279096141,2161727821839574773,680.4502944946298,460,1.390358231961727,0.773669762536883,0.782834872603417,0.017053271571057783,0.0027863759896717003,0.0332974998746067,1355704,787116,267160,1356032,787344,267240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
720575940619024774,169863278917,-7926335037471377612,388904.99062061316,215599,47.358306962305456,1518.8812747198535,10.818336695304694,5.22212221376441,31.97453465577789,38.74543082494979,783990644,422834016,125582680,783986576,422850416,125592680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,23,0,1185,0,0,0,0,0,29,0,45,0,0
720575940619059102,4240069017,-144115175419894016,7786.53167152405,6895,15.310015413109792,6.446091975623858,7.063392325073436,0.0004560319975496221,13.340133354955467,8.839911210587161,29875896,13222296,2823160,29876204,13222032,2823320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,22,0,7,0,1,0,1,0,4,0,0,0,0,0
720575940619078091,6504265461,-1297036674287641653,12664.069716453554,10292,23.203343021450568,29.31582422927022,0.6611060333989353,0.004923453657297032,13.604350187524684,8.210453850682823,43775016,19224960,4331520,43775268,19224588,4331760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,31,0,10,0,10,0,0,0,0,0,0,0,0,0
720575940619417620,116308410,2161727821861419105,804.7429618835451,389,0.29281479183254056,1.4452489117986116,0.24546386628304082,1.0030980840051593,0.00040385345073445006,0.012970358483244123,1648216,750980,203360,1648208,751028,203360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
720575940619931119,33486963237,-4179340375450550161,62052.726077556625,44682,110.20332794822389,63.54141375302333,10.516417376985807,0.2306519253876344,81.22515386001577,61.28303520696944,153965920,81928144,24136480,153965620,81927384,24137040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,75,0,79,0,32,0,17,0,21,0,4,0,1
720575940620319085,9949128764,-3602879670986275884,19272.901315212253,16965,25.81486741278786,61.417916751117446,28.38340386111213,0.0144192863075622,3.9614658469852184,3.407926439768969,72865152,33331836,9386840,72861304,33330688,9387240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,1,0,0,0
720575940620565313,15883225410,-4755801171194973998,26361.79177474976,20293,52.71573834994342,49.821806735155405,2.9915160636996863,0.014839936334585637,15.531529420557316,25.924570946663152,69256320,36819756,10936440,69256084,36820224,10936840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,31,0,37,0,13,0,9,0,21,0,0,0,0
720575940620644446,87135345179,5764607673325669597,193281.7410707474,117368,41.10987937008756,643.5157034586609,11.618932343389806,1.0390029378723695,164.45817819955846,42.258300163217946,532712720,236198220,56719800,532715848,236205228,56722880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,153,0,0,0,0,0,0,0
