flyid,name,vp1m_50Hz
720575940602564320,,37.733333333333334
720575940602605536,,34.96666666666667
720575940602977248,,177.63333333333333
720575940603050668,,43.53333333333333
720575940603111392,,22.566666666666666
720575940603231916,,127.13333333333334
720575940603317216,,41.56666666666667
720575940603455846,,61.03333333333333
720575940603464672,,225.2
720575940603556198,,4.1
720575940603642982,,34.93333333333333
720575940603673120,,17.433333333333334
720575940603674656,,49.43333333333333
720575940603721248,,36.06666666666667
720575940603751782,,62.3
720575940603820716,,134.0
720575940603832288,,5.433333333333334
720575940603882720,,47.233333333333334
720575940603883232,,63.266666666666666
720575940603885856,,21.366666666666667
720575940603899936,,0.8666666666666667
720575940603938238,,0.4666666666666667
720575940603984486,,38.1
720575940603985952,,177.8
720575940603988838,,0.03333333333333333
720575940604008672,,43.233333333333334
720575940604050110,,41.93333333333333
720575940604088288,,0.03333333333333333
720575940604093984,,56.8
720575940604103200,,40.2
720575940604126129,,14.0
720575940604131296,,47.4
720575940604132710,,88.1
720575940604284337,,0.8
720575940604341216,,32.2
720575940604352172,,197.86666666666667
720575940604352689,,5.333333333333333
720575940604398816,,129.5
720575940604402092,,68.96666666666667
720575940604403628,,31.433333333333334
720575940604407468,,117.8
720575940604414636,,52.96666666666667
720575940604418988,,4.033333333333333
720575940604431584,,125.63333333333334
720575940604456876,,41.2
720575940604466912,,73.8
720575940604470240,,17.066666666666666
720575940604478176,,57.1
720575940604479590,,78.1
720575940604493024,,86.56666666666666
720575940604500448,,13.8
720575940604552894,,16.6
720575940604557792,,73.03333333333333
720575940604568521,,30.666666666666668
720575940604569824,,23.233333333333334
720575940604620512,,28.2
720575940604626912,,38.0
720575940604630496,,69.53333333333333
720575940604663520,,98.56666666666666
720575940604682976,,10.2
720575940604690278,,0.2
720575940604714208,,13.066666666666666
720575940604714464,,158.1
720575940604735660,,11.1
720575940604737708,,0.7666666666666667
720575940604747878,,0.03333333333333333
720575940604766153,,72.43333333333334
720575940604770249,,0.03333333333333333
720575940604783136,,57.63333333333333
720575940604806345,,40.1
720575940604810016,,26.233333333333334
720575940604833196,,51.86666666666667
720575940604860332,,21.133333333333333
720575940604874208,,98.46666666666667
720575940604880841,,19.4
720575940604884396,,45.06666666666667
720575940604908972,,67.2
720575940604911793,,46.06666666666667
720575940604924606,,59.0
720575940604931249,,93.43333333333334
720575940604934572,,1.5
720575940604935340,,22.466666666666665
720575940604941234,,47.766666666666666
720575940604961126,,73.9
720575940604961894,,43.46666666666667
720575940604962918,,54.6
720575940604963686,,57.333333333333336
720575940604963942,,48.93333333333333
720575940604974978,,51.46666666666667
720575940604978534,,27.8
720575940604985265,,29.166666666666668
720575940604991264,,68.13333333333334
720575940604994336,,24.966666666666665
720575940604997152,,60.93333333333333
720575940604999526,,24.033333333333335
720575940605000550,,12.5
720575940605007206,,88.06666666666666
720575940605028017,,67.56666666666666
720575940605029036,,123.6
720575940605030316,,28.5
720575940605031084,,22.566666666666666
720575940605032550,,76.93333333333334
720575940605037996,,7.3
720575940605039788,,2.3
720575940605060798,,75.3
720575940605078560,,119.43333333333334
720575940605083838,,52.2
720575940605102694,,145.8
720575940605113376,,47.06666666666667
720575940605154988,,46.666666666666664
720575940605171121,,5.8
720575940605180337,,62.2
720575940605180849,,28.733333333333334
720575940605184102,,53.7
720575940605196465,,30.533333333333335
720575940605197745,,44.8
720575940605221065,,10.833333333333334
720575940605236866,,58.03333333333333
720575940605252041,,43.5
720575940605264305,,133.93333333333334
720575940605280201,,53.36666666666667
720575940605290441,,42.46666666666667
720575940605305777,,17.5
720575940605309361,,81.93333333333334
720575940605309542,,39.56666666666667
720575940605312945,,55.7
720575940605338290,,34.03333333333333
720575940605362610,,52.666666666666664
720575940605376800,,18.966666666666665
720575940605383526,,86.1
720575940605391136,,49.833333333333336
720575940605391794,,31.733333333333334
720575940605396926,,46.56666666666667
720575940605400096,,132.16666666666666
720575940605407846,,47.43333333333333
720575940605410592,,80.2
720575940605411104,,51.8
720575940605412738,,78.73333333333333
720575940605420902,,92.06666666666666
720575940605421442,,68.8
720575940605427134,,91.76666666666667
720575940605431840,,74.53333333333333
720575940605451552,,40.9
720575940605452064,,26.733333333333334
720575940605462961,,0.03333333333333333
720575940605480806,,28.433333333333334
720575940605488416,,50.7
720575940605494560,,5.233333333333333
720575940605507249,,38.2
720575940605513649,,2.2333333333333334
720575940605520062,,19.433333333333334
720575940605528422,,54.0
720575940605530336,,1.2333333333333334
720575940605541920,,45.63333333333333
720575940605544370,,49.03333333333333
720575940605551038,,47.233333333333334
720575940605551718,,31.9
720575940605552742,,26.9
720575940605565886,,14.033333333333333
