flyid,name,vp3a_25Hz
720575940602564320,,30.3
720575940602605536,,28.366666666666667
720575940602977248,,144.0
720575940603050668,,35.233333333333334
720575940603111392,,18.266666666666666
720575940603231916,,103.63333333333334
720575940603317216,,33.5
720575940603455846,,49.833333333333336
720575940603464672,,183.5
720575940603556198,,4.033333333333333
720575940603642982,,28.4
720575940603673120,,14.266666666666667
720575940603674656,,39.93333333333333
720575940603721248,,29.3
720575940603751782,,50.6
720575940603820716,,109.1
720575940603832288,,4.233333333333333
720575940603882720,,38.333333333333336
720575940603883232,,51.266666666666666
720575940603885856,,17.433333333333334
720575940603899936,,0.8666666666666667
720575940603938238,,0.23333333333333334
720575940603984486,,30.833333333333332
720575940603985952,,144.6
720575940604008672,,35.0
720575940604050110,,33.8
720575940604093984,,46.1
720575940604103200,,32.6
720575940604126129,,11.033333333333333
720575940604131296,,38.46666666666667
720575940604132710,,71.43333333333334
720575940604284337,,0.6
720575940604341216,,26.366666666666667
720575940604352172,,161.6
720575940604352689,,4.233333333333333
720575940604398816,,106.1
720575940604402092,,55.86666666666667
720575940604403628,,34.03333333333333
720575940604407468,,95.83333333333333
720575940604414636,,40.2
720575940604418988,,1.8666666666666667
720575940604431584,,101.73333333333333
720575940604456876,,33.666666666666664
720575940604466912,,59.766666666666666
720575940604470240,,14.233333333333333
720575940604478176,,46.4
720575940604479590,,63.3
720575940604493024,,70.53333333333333
720575940604500448,,11.3
720575940604552894,,13.366666666666667
720575940604557792,,59.43333333333333
720575940604568521,,23.7
720575940604569824,,19.033333333333335
720575940604620512,,22.9
720575940604624574,,0.03333333333333333
720575940604626912,,31.066666666666666
720575940604630496,,56.5
720575940604663520,,80.0
720575940604682976,,8.666666666666666
720575940604690278,,0.6333333333333333
720575940604714208,,10.633333333333333
720575940604714464,,128.86666666666667
720575940604735660,,8.766666666666667
720575940604737708,,0.3333333333333333
720575940604766153,,58.96666666666667
720575940604770249,,0.03333333333333333
720575940604783136,,46.833333333333336
720575940604806345,,32.266666666666666
720575940604810016,,20.233333333333334
720575940604833196,,42.0
720575940604860332,,17.0
720575940604874208,,78.6
720575940604880841,,15.6
720575940604884396,,36.5
720575940604908972,,54.3
720575940604911793,,35.766666666666666
720575940604924606,,47.96666666666667
720575940604931249,,76.36666666666666
720575940604934572,,1.0
720575940604935340,,18.066666666666666
720575940604941234,,38.96666666666667
720575940604961126,,60.43333333333333
720575940604961894,,35.266666666666666
720575940604962918,,44.13333333333333
720575940604963686,,45.86666666666667
720575940604963942,,39.3
720575940604974978,,41.766666666666666
720575940604978534,,22.533333333333335
720575940604985265,,23.866666666666667
720575940604991264,,55.5
720575940604994336,,20.433333333333334
720575940604997152,,49.4
720575940604999526,,19.333333333333332
720575940605000550,,9.766666666666667
720575940605007206,,71.9
720575940605028017,,55.13333333333333
