flyid,name,vp1l_5Hz
720575940604931249,vp1l_6,2.0933757957476775
720575940611352014,,0.706320670013903
720575940613203119,,0.4955356249106168
720575940613898449,,0.4955356249106168
720575940613941533,vp1l_7,2.028683207293725
720575940613942045,vp1l_8,2.023198787399136
720575940613942301,vp1l_9,2.082999973329066
720575940613942557,vp1l_10,2.3007245235649862
720575940614871106,,1.0624918300339483
720575940614921501,vp1l_1,1.9955506062794355
720575940617987113,vp1l_2,2.160246899469287
720575940620644446,vp1l_3,1.4047538337136987
720575940622700749,vp1l_4,2.3767391293301183
720575940625148174,vp1l_11,2.264705033528404
720575940625657928,vp1l_12,2.0805982045769644
720575940626580361,vp1l_13,1.6629959577688562
720575940628338028,,1.3012814197295426
720575940651079158,vp1l_5,1.6599866130651644
