flyid,name,vp1m_25Hz
720575940602564320,,36.9
720575940602605536,,34.4
720575940602977248,,172.93333333333334
720575940603050668,,42.833333333333336
720575940603111392,,22.2
720575940603231916,,124.56666666666666
720575940603317216,,40.56666666666667
720575940603455846,,59.96666666666667
720575940603464672,,220.8
720575940603556198,,4.066666666666666
720575940603642982,,34.3
720575940603673120,,17.2
720575940603674656,,48.43333333333333
720575940603721248,,35.43333333333333
720575940603751782,,61.03333333333333
720575940603820716,,131.43333333333334
720575940603832288,,5.133333333333334
720575940603882720,,46.13333333333333
720575940603883232,,61.766666666666666
720575940603885856,,21.066666666666666
720575940603899936,,0.9666666666666667
720575940603938238,,0.26666666666666666
720575940603984486,,37.13333333333333
720575940603985952,,174.16666666666666
720575940603988838,,0.03333333333333333
720575940604008672,,42.2
720575940604050110,,40.86666666666667
720575940604088288,,0.03333333333333333
720575940604093984,,55.766666666666666
720575940604103200,,39.166666666666664
720575940604126129,,13.333333333333334
720575940604131296,,46.233333333333334
720575940604132710,,86.2
720575940604284337,,0.7666666666666667
720575940604341216,,31.333333333333332
720575940604352172,,194.2
720575940604352689,,4.8
720575940604398816,,127.06666666666666
720575940604402092,,67.33333333333333
720575940604403628,,30.666666666666668
720575940604407468,,115.1
720575940604412588,,0.03333333333333333
720575940604414636,,51.333333333333336
720575940604418988,,3.8333333333333335
720575940604431584,,122.7
720575940604456876,,40.5
720575940604466912,,72.3
720575940604470240,,17.333333333333332
720575940604478176,,55.93333333333333
720575940604479590,,76.46666666666667
720575940604493024,,84.8
720575940604500448,,13.533333333333333
720575940604552894,,16.033333333333335
720575940604557792,,71.53333333333333
720575940604568521,,29.266666666666666
720575940604569824,,22.8
720575940604620512,,27.666666666666668
720575940604626912,,37.4
720575940604630496,,68.1
720575940604663520,,96.83333333333333
720575940604682976,,9.866666666666667
720575940604690278,,0.23333333333333334
720575940604714208,,12.9
720575940604714464,,156.03333333333333
720575940604735660,,10.466666666666667
720575940604737708,,0.43333333333333335
720575940604766153,,70.93333333333334
720575940604770249,,0.03333333333333333
720575940604783136,,56.36666666666667
720575940604806345,,39.2
720575940604810016,,25.266666666666666
720575940604833196,,50.766666666666666
720575940604860332,,20.766666666666666
720575940604874208,,95.9
720575940604880841,,18.5
720575940604884396,,44.166666666666664
720575940604908972,,65.46666666666667
720575940604911793,,43.9
720575940604924606,,57.9
720575940604931249,,91.7
720575940604934572,,1.2666666666666666
720575940604935340,,21.866666666666667
720575940604941234,,46.8
720575940604961126,,72.83333333333333
720575940604961894,,42.666666666666664
720575940604962918,,53.4
720575940604963686,,55.8
720575940604963942,,47.7
720575940604974978,,50.6
720575940604978534,,27.3
720575940604985265,,28.566666666666666
720575940604991264,,66.83333333333333
720575940604994336,,24.4
720575940604997152,,59.5
720575940604999526,,23.433333333333334
720575940605000550,,12.233333333333333
720575940605007206,,87.83333333333333
720575940605028017,,66.26666666666667
720575940605029036,,120.46666666666667
720575940605030316,,27.7
720575940605031084,,22.0
720575940605032550,,74.96666666666667
720575940605037996,,6.4
720575940605039788,,2.066666666666667
720575940605060798,,73.7
720575940605078560,,117.1
720575940605083838,,51.0
720575940605102694,,143.36666666666667
720575940605113376,,46.13333333333333
720575940605154988,,45.8
720575940605171121,,5.1
720575940605180337,,60.86666666666667
720575940605180849,,28.033333333333335
720575940605184102,,52.666666666666664
720575940605196465,,29.933333333333334
720575940605197745,,43.93333333333333
720575940605221065,,10.833333333333334
720575940605236866,,57.0
720575940605252041,,42.63333333333333
720575940605264305,,131.06666666666666
720575940605280201,,52.266666666666666
720575940605290441,,41.46666666666667
720575940605305777,,17.066666666666666
720575940605309361,,80.56666666666666
720575940605309542,,38.666666666666664
720575940605312945,,54.56666666666667
720575940605338290,,33.3
720575940605362610,,51.7
720575940605376800,,18.3
720575940605383526,,84.3
720575940605391136,,48.733333333333334
720575940605391794,,31.133333333333333
720575940605396926,,46.2
720575940605400096,,129.83333333333334
720575940605407846,,46.3
720575940605410592,,78.26666666666667
720575940605411104,,50.8
720575940605412738,,77.13333333333334
720575940605420902,,89.06666666666666
720575940605421442,,67.4
720575940605427134,,89.43333333333334
720575940605431840,,73.43333333333334
720575940605451552,,40.13333333333333
720575940605452064,,26.133333333333333
720575940605462961,,0.06666666666666667
720575940605480806,,27.833333333333332
720575940605488416,,49.7
720575940605494560,,5.3
720575940605507249,,37.4
720575940605513649,,2.6
720575940605520062,,19.133333333333333
720575940605528422,,52.96666666666667
720575940605530336,,1.2
720575940605541920,,44.7
720575940605544370,,48.0
720575940605551038,,46.46666666666667
720575940605551718,,31.166666666666668
720575940605552742,,26.333333333333332
720575940605565886,,13.633333333333333
720575940605583136,,47.4
720575940605597385,,0.03333333333333333
720575940605606274,,50.766666666666666
720575940605619744,,60.233333333333334
720575940605620670,,31.466666666666665
720575940605620926,,73.73333333333333
720575940605621024,,43.833333333333336
720575940605625376,,65.43333333333334
720575940605625958,,55.9
720575940605627057,,39.06666666666667
720575940605641830,,17.433333333333334
720575940605658033,,32.766666666666666
720575940605664446,,15.0
720575940605664702,,86.53333333333333
720575940605678368,,73.73333333333333
720575940605686886,,17.133333333333333
720575940605688608,,108.5
720575940605702065,,28.433333333333334
720575940605702944,,6.833333333333333
720575940605705650,,78.16666666666667
720575940605718449,,63.06666666666667
720575940605725873,,0.3333333333333333
720575940605726385,,52.96666666666667
720575940605733042,,0.06666666666666667
720575940605742002,,25.033333333333335
720575940605758142,,260.1333333333333
720575940605777841,,0.1
720575940605841074,,72.23333333333333
720575940605842656,,114.93333333333334
720575940605877728,,59.266666666666666
720575940605882336,,69.86666666666666
720575940605883569,,219.73333333333332
720575940605891040,,37.3
720575940605925600,,0.03333333333333333
720575940605927904,,30.0
720575940605929394,,28.133333333333333
720575940605934001,,39.13333333333333
720575940605947569,,114.73333333333333
720575940605957809,,42.333333333333336
720575940605992369,,44.833333333333336
720575940605993649,,19.633333333333333
720575940605997257,,24.8
720575940606009801,,26.966666666666665
720575940606010057,,12.366666666666667
720575940606015154,,10.866666666666667
720575940606039241,,21.6
720575940606046892,,37.7
720575940606056905,,284.1
720575940606112940,,43.266666666666666
720575940606139308,,55.266666666666666
720575940606149321,,53.53333333333333
720575940606179686,,26.833333333333332
720575940606185858,,43.766666666666666
720575940606195657,,21.666666666666668
720575940606246334,,156.46666666666667
720575940606267659,,106.4
720575940606319794,,5.7
720575940606331996,,47.9
720575940606335106,,48.833333333333336
720575940606337312,,96.46666666666667
720575940606341250,,51.666666666666664
720575940606342089,,10.633333333333333
720575940606347394,,42.2
720575940606354633,,12.8
720575940606373321,,4.966666666666667
720575940606385440,,148.5
720575940606399068,,77.5
720575940606428850,,0.3333333333333333
720575940606436128,,77.23333333333333
720575940606452681,,50.266666666666666
720575940606453769,,37.93333333333333
720575940606454108,,53.13333333333333
720575940606464102,,0.2
720575940606477660,,35.166666666666664
720575940606483467,,62.8
720575940606483723,,49.733333333333334
720575940606498313,,58.46666666666667
720575940606514878,,77.63333333333334
720575940606514889,,16.366666666666667
720575940606548914,,0.03333333333333333
720575940606549961,,48.333333333333336
720575940606563249,,30.1
720575940606573490,,27.4
720575940606590338,,164.6
720575940606602674,,31.833333333333332
720575940606611977,,27.3
720575940606621362,,51.13333333333333
720575940606649865,,96.76666666666667
720575940606662322,,58.733333333333334
720575940606663625,,50.1
720575940606664894,,176.6
720575940606667977,,45.833333333333336
720575940606675804,,57.166666666666664
720575940606679142,,38.9
720575940606680450,,31.166666666666668
720575940606687499,,80.5
720575940606700043,,21.133333333333333
720575940606705073,,78.96666666666667
720575940606715337,,65.43333333333334
720575940606722249,,269.73333333333335
720575940606725833,,55.266666666666666
720575940606726834,,37.46666666666667
720575940606729858,,36.9
720575940606730076,,29.3
720575940606731977,,0.03333333333333333
