flyid,name,vp1d_15Hz
720575940602564320,,2.1039645117412666
720575940602605536,,2.155355088043628
720575940602977248,,10.0675496301511
720575940603050668,,2.992583424995125
720575940603111392,,1.4922019523732928
720575940603231916,,6.988562083862459
720575940603317216,,2.4267032964268394
720575940603455846,,3.335998934185814
720575940603464672,,12.12270596855339
720575940603556198,,0.9637888196533974
720575940603642982,,2.2910453703252776
720575940603673120,,1.3063945294843615
720575940603674656,,2.7680719322702263
720575940603721248,,2.220110107379562
720575940603751782,,3.5541837631476265
720575940603820716,vp1d_1,11.597126080772485
720575940603832288,,1.0482790129010924
720575940603882720,,2.813459712801225
720575940603883232,,3.5646411694119604
720575940603885856,,1.32874209519965
720575940603899936,,0.6633249580710799
720575940603938238,,0.6110100926607787
720575940603984486,,2.318045153428495
720575940603985952,,9.82988640151384
720575940603988838,,0.1795054935711501
720575940604008672,,2.316366887078892
720575940604050110,,2.2715633383201093
720575940604088288,,0.3958114029012639
720575940604093984,,3.229034943549956
720575940604103200,,2.2373098926066444
720575940604126129,,1.2476644848141933
720575940604131296,,2.694851057521032
720575940604132710,,4.883532419149983
720575940604284337,,0.8034647195462634
720575940604341216,,1.8785337071473827
720575940604352172,,10.624970588194586
720575940604352689,,1.2110601416389966
720575940604398816,,7.464285334548483
720575940604402092,,3.7477400597634247
720575940604403628,,2.359142970562733
720575940604407468,,6.336928803976471
720575940604414636,,2.6138519893487127
720575940604418988,,1.2827920936595905
720575940604431584,,7.252279335185287
720575940604456876,,2.528943565118755
720575940604466912,,4.224400023145956
720575940604470240,,2.139833846093871
720575940604478176,,3.2427697352040825
720575940604479590,,4.325120422215624
720575940604493024,,4.800925836637022
720575940604500448,,1.2565384549980512
720575940604552894,,0.9865765724632494
720575940604557792,,4.119870548128101
720575940604568521,,1.69607389776114
720575940604569824,,1.8882678717691392
720575940604620512,,1.6041612554021285
720575940604626912,,2.275717225159771
720575940604630496,,3.9756201472921875
720575940604663520,,5.158057343182175
720575940604682976,,1.2688577540449522
720575940604690278,,0.33993463423951903
720575940604714208,,0.8919392106839769
720575940604714464,,8.662883789798613
720575940604735660,,1.702612371882951
720575940604737708,,0.5962847939999438
720575940604766153,,4.2322833343506465
720575940604770249,,0.17950549357115012
720575940604783136,,3.283629428273267
720575940604806345,,2.282542442102666
720575940604808736,,0.1795054935711501
720575940604810016,,1.4696938456699067
720575940604833196,,2.9221377258590824
720575940604860332,,1.3012814197295424
720575940604874208,,5.857663546348682
720575940604880841,,2.147091055358389
720575940604884396,,2.6153393661244047
720575940604908972,,3.6210802562525757
720575940604911793,,2.4406283343980637
720575940604924606,,3.3299983316645805
720575940604931249,,5.059205031974446
720575940604934572,,0.9309493362512627
720575940604935340,,1.4696938456699067
720575940604941234,,2.6727015047201466
720575940604961126,,3.9827405416650254
720575940604961894,,2.464187943770163
720575940604962918,,3.1483681840315665
720575940604963686,,3.269386622730461
720575940604963942,,2.7856776554368237
720575940604974978,,2.9335227211589068
720575940604978534,,1.6679994670929073
720575940604985265,,1.768866554856213
720575940604991264,,3.9911012125588714
720575940604994336,,1.459071241882619
720575940604997152,,3.369800521626696
720575940604999526,,1.5524174696260025
720575940605000550,,1.024152766382481
720575940605007206,,4.366030488008784
720575940605028017,,4.040901989517797
720575940605029036,,7.02060459568041
720575940605030316,,2.0976176963403033
720575940605031084,,1.3759844960366863
720575940605032550,,4.3797513881751575
720575940605037996,,1.2489995996796797
720575940605039788,,1.0
720575940605060798,,4.144742318756244
720575940605078560,,6.392356546862997
720575940605083838,,2.9634814361190487
720575940605102694,,8.044390730330186
720575940605113376,,2.7896634603876898
720575940605154988,,2.80178514522438
720575940605171121,,1.3337499349161703
720575940605180337,,3.6672726771933513
720575940605180849,,1.7413277182145304
720575940605184102,,2.9408993333483697
720575940605196465,,1.7792008193443358
720575940605197745,,2.612789058968723
720575940605221065,,1.024152766382481
720575940605236866,,3.189566323708183
720575940605252041,,2.7
720575940605264305,vp1d_2,9.769794720918597
720575940605280201,,3.0406505151949896
720575940605290441,,2.334285520001546
720575940605305777,,0.9219544457292888
720575940605309361,,4.671901825452528
720575940605309542,,2.2263572639328726
720575940605312945,,3.1804961178337496
720575940605338290,,2.1367160680716464
720575940605362610,,3.1235663378047
720575940605376800,,1.1279282877125754
720575940605383526,,4.701772715334788
720575940605391136,,2.8627880738111853
720575940605391794,,1.7841898254763513
720575940605396926,,2.7416540019970914
720575940605400096,,7.054076835419359
720575940605407846,,2.642389491014188
720575940605410592,,4.541169697580373
720575940605411104,,3.052321520853704
720575940605412738,,4.3949465930265355
720575940605420902,,5.322488974989885
720575940605421442,,3.6849543944109935
720575940605427134,,4.847565253700964
720575940605431840,,4.052571200279315
