flyid,name,vp1l_75Hz
720575940602564320,,37.4
720575940602605536,,35.233333333333334
720575940602977248,,177.2
720575940603050668,,43.93333333333333
720575940603111392,,22.633333333333333
720575940603231916,,126.73333333333333
720575940603317216,,41.4
720575940603455846,,61.5
720575940603464672,,226.63333333333333
720575940603556198,,4.5
720575940603642982,,35.166666666666664
720575940603673120,,17.8
720575940603674656,,49.7
720575940603721248,,36.6
720575940603751782,,62.666666666666664
720575940603820716,,134.0
720575940603832288,,5.3
720575940603882720,,47.1
720575940603883232,,63.0
720575940603885856,,21.6
720575940603899936,,0.9333333333333333
720575940603938238,,0.4
720575940603984486,,38.0
720575940603985952,,177.53333333333333
720575940603988838,,0.06666666666666667
720575940604008672,,43.2
720575940604050110,,41.7
720575940604093984,,56.733333333333334
720575940604103200,,40.03333333333333
720575940604126129,,13.733333333333333
720575940604131296,,46.93333333333333
720575940604132710,,87.76666666666667
720575940604284337,,0.5
720575940604341216,,32.56666666666667
720575940604352172,,199.7
720575940604352689,,5.5
720575940604398816,,129.66666666666666
720575940604402092,,68.6
720575940604403628,,28.866666666666667
720575940604407468,,117.73333333333333
720575940604412588,,0.43333333333333335
720575940604414636,,49.0
720575940604418988,,2.5
720575940604431584,,124.73333333333333
720575940604456876,,41.3
720575940604466912,,73.73333333333333
720575940604470240,,17.433333333333334
720575940604478176,,57.43333333333333
720575940604479590,,78.0
720575940604493024,,86.46666666666667
720575940604500448,,14.0
720575940604552894,,16.733333333333334
720575940604557792,,72.8
720575940604568521,,29.333333333333332
720575940604569824,,22.566666666666666
720575940604620512,,28.266666666666666
720575940604626912,,38.43333333333333
720575940604630496,,69.9
720575940604663520,,99.23333333333333
720575940604682976,,9.766666666666667
720575940604690278,,0.26666666666666666
720575940604714208,,12.833333333333334
720575940604714464,,159.7
720575940604735660,,10.4
720575940604737708,,0.43333333333333335
720575940604766153,,73.06666666666666
720575940604783136,,57.46666666666667
720575940604806345,,39.93333333333333
720575940604810016,,24.766666666666666
720575940604833196,,51.8
720575940604860332,,21.166666666666668
720575940604874208,,95.76666666666667
720575940604880841,,19.3
720575940604884396,,45.06666666666667
720575940604908972,,66.76666666666667
720575940604911793,,42.86666666666667
720575940604924606,,58.93333333333333
720575940604931249,vp1l_6,163.66666666666666
720575940604934572,,0.8333333333333334
720575940604935340,,22.333333333333332
720575940604941234,,48.1
720575940604961126,,74.5
720575940604961894,,43.46666666666667
720575940604962918,,54.833333333333336
720575940604963686,,56.53333333333333
720575940604963942,,49.0
720575940604974978,,51.266666666666666
720575940604978534,,27.766666666666666
720575940604985265,,29.5
720575940604991264,,68.23333333333333
720575940604994336,,24.933333333333334
720575940604997152,,61.5
720575940604999526,,24.066666666666666
720575940605000550,,12.333333333333334
720575940605007206,,89.0
720575940605028017,,67.6
720575940605029036,,122.8
