,root_id,const,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,sense_syn_count,upstream_sensoryN,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
113,720575940626681146,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,12.0,2.0,intrinsic,central,ALLN,,v2LN42b,v2LN42,ALv2,left,
114,720575940626741552,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,61.0,7.0,intrinsic,central,,,,OA-VUMa5,MD0__prim,center,
115,720575940626741552,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,22.0,3.0,intrinsic,central,,,,OA-VUMa5,MD0__prim,center,
116,720575940627245585,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,321.0,15.0,intrinsic,central,ALPN,uniglomerular,,VP4_vPN,ALv1,left,
117,720575940627349860,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,9.0,1.0,intrinsic,central,,,,CSD,putative_primary,left,
118,720575940627369960,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,22.0,4.0,intrinsic,central,ALLN,,,v2LN49,ALv2,left,
119,720575940627369960,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,78.0,4.0,intrinsic,central,ALLN,,,v2LN49,ALv2,left,
120,720575940627605779,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,,lLN2P_b,ALl1_dorsal,left,
121,720575940627737365,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN2X10,,ALl1_dorsal,left,
122,720575940627927573,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,13.0,2.0,intrinsic,central,ALLN,,lLN2X04,,ALl1_dorsal,left,
123,720575940627927573,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,35.0,5.0,intrinsic,central,ALLN,,lLN2X04,,ALl1_dorsal,left,
124,720575940628059978,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,5.0,1.0,intrinsic,central,ALLN,,lLN2X11,,ALl1_dorsal,right,
125,720575940628330885,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,127.0,10.0,intrinsic,central,ALLN,,CB3417,,ALv2,left,
126,720575940628338028,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,223.0,6.0,intrinsic,central,ALPN,multiglomerular,,VP1l+VP3_ilPN,putative_primary,right,
