flyid,name,thermo_100Hz
720575940602564320,,37.93333333333333
720575940602605536,,35.4
720575940602977248,,179.73333333333332
720575940603050668,,43.86666666666667
720575940603111392,,22.933333333333334
720575940603231916,,129.23333333333332
720575940603317216,,41.53333333333333
720575940603455846,,62.2
720575940603464672,,228.86666666666667
720575940603556198,,4.366666666666666
720575940603642982,,35.5
720575940603673120,,17.733333333333334
720575940603674656,,50.3
720575940603721248,,36.7
720575940603751782,,63.4
720575940603820716,,136.36666666666667
720575940603832288,,5.633333333333334
720575940603882720,,48.166666666666664
720575940603883232,,63.93333333333333
720575940603885856,,22.266666666666666
720575940603899936,,1.1
720575940603938238,,0.23333333333333334
720575940603984486,,38.53333333333333
720575940603985952,,180.66666666666666
720575940604008672,,43.833333333333336
720575940604050110,,42.666666666666664
720575940604088288,,0.16666666666666666
720575940604093984,,57.8
720575940604103200,,40.7
720575940604126129,,13.966666666666667
720575940604131296,,48.06666666666667
720575940604132710,,89.43333333333334
720575940604284337,,1.5
720575940604341216,,32.766666666666666
720575940604352172,,201.53333333333333
720575940604352689,,5.533333333333333
720575940604398816,,132.0
720575940604402092,,69.83333333333333
720575940604403628,,32.0
720575940604407468,,119.4
720575940604412588,,0.03333333333333333
720575940604414636,,51.233333333333334
720575940604418988,,2.3333333333333335
720575940604431584,,127.46666666666667
720575940604456876,,41.8
720575940604466912,,74.96666666666667
720575940604470240,,16.866666666666667
720575940604478176,,58.0
720575940604479590,,79.43333333333334
720575940604493024,,88.13333333333334
720575940604500448,,14.433333333333334
720575940604552894,,17.033333333333335
720575940604557792,,73.9
720575940604568521,,29.8
720575940604569824,,23.533333333333335
720575940604620512,,28.766666666666666
720575940604626912,,38.9
720575940604630496,,70.7
720575940604663520,,100.86666666666666
720575940604682976,,10.433333333333334
720575940604690278,,0.1
720575940604714208,,13.366666666666667
720575940604714464,,160.66666666666666
720575940604735660,,11.466666666666667
720575940604737708,,0.4666666666666667
720575940604766153,,73.83333333333333
720575940604783136,,61.5
720575940604806345,,40.56666666666667
720575940604808736,,0.03333333333333333
720575940604810016,,26.666666666666668
720575940604833196,,52.8
720575940604860332,,21.566666666666666
720575940604874208,,100.03333333333333
720575940604880841,,19.5
720575940604884396,,45.8
720575940604908972,,68.86666666666666
720575940604911793,,54.43333333333333
720575940604924606,,59.833333333333336
720575940604931249,,95.33333333333333
720575940604934572,,1.4666666666666666
720575940604935340,,23.0
720575940604941234,,48.86666666666667
720575940604961126,,75.4
720575940604961894,,44.06666666666667
720575940604962918,,55.43333333333333
720575940604963686,,58.13333333333333
720575940604963942,,49.46666666666667
720575940604974978,,52.4
720575940604978534,,28.2
720575940604985265,,29.633333333333333
720575940604991264,,69.2
720575940604994336,,25.5
720575940604997152,,61.7
720575940604999526,,24.533333333333335
720575940605000550,,12.5
720575940605007206,,90.06666666666666
720575940605028017,,68.93333333333334
720575940605029036,,125.16666666666667
720575940605030316,,28.7
720575940605031084,,22.966666666666665
720575940605032550,,77.63333333333334
720575940605037996,,7.133333333333334
720575940605039788,,2.566666666666667
720575940605060798,,76.36666666666666
720575940605078560,,121.33333333333333
720575940605083838,,53.06666666666667
720575940605102694,,148.7
720575940605113376,,47.8
720575940605154988,,46.96666666666667
720575940605171121,,5.166666666666667
720575940605180337,,63.3
720575940605180849,,29.066666666666666
720575940605184102,,54.9
720575940605196465,,31.033333333333335
720575940605197745,,45.56666666666667
720575940605221065,,11.0
720575940605236866,,59.06666666666667
720575940605252041,,44.13333333333333
720575940605264305,,136.3
720575940605280201,,54.43333333333333
720575940605290441,,43.13333333333333
720575940605305777,,18.0
720575940605309361,,84.03333333333333
720575940605309542,,40.13333333333333
720575940605312945,,56.5
720575940605338290,,34.666666666666664
720575940605362610,,53.63333333333333
720575940605376800,,19.033333333333335
720575940605383526,,87.2
720575940605391136,,50.36666666666667
720575940605391794,,32.3
720575940605396926,,47.833333333333336
720575940605400096,,134.63333333333333
720575940605407846,,47.5
720575940605410592,,81.13333333333334
720575940605411104,,58.06666666666667
720575940605412738,,80.2
720575940605420902,,92.8
720575940605421442,,69.86666666666666
720575940605427134,,93.46666666666667
720575940605431840,,75.96666666666667
720575940605451552,,41.46666666666667
720575940605452064,,27.066666666666666
720575940605480806,,28.533333333333335
720575940605488416,,51.53333333333333
720575940605494560,,5.4
720575940605507249,,38.666666666666664
720575940605513649,,2.3
720575940605520062,,19.833333333333332
720575940605528422,,55.266666666666666
720575940605530336,,1.1333333333333333
720575940605541920,,46.03333333333333
720575940605544370,,49.86666666666667
720575940605551038,,48.13333333333333
720575940605551718,,32.333333333333336
720575940605552742,,27.433333333333334
720575940605565886,,13.966666666666667
720575940605583136,,49.43333333333333
720575940605606274,,52.63333333333333
720575940605619744,,62.43333333333333
720575940605620670,,32.5
720575940605620926,,76.3
720575940605621024,,45.53333333333333
720575940605625376,,67.73333333333333
720575940605625958,,58.43333333333333
720575940605627057,,40.36666666666667
720575940605641830,,18.1
720575940605658033,,34.233333333333334
720575940605664446,,15.666666666666666
720575940605664702,,89.53333333333333
720575940605678368,,76.46666666666667
720575940605686886,,17.966666666666665
720575940605688608,,112.53333333333333
720575940605702065,,29.566666666666666
720575940605702944,,7.333333333333333
720575940605705650,,81.1
720575940605718449,,65.23333333333333
720575940605725873,,0.5666666666666667
720575940605726385,,55.13333333333333
720575940605733042,,0.03333333333333333
720575940605742002,,26.033333333333335
720575940605758142,,270.06666666666666
720575940605777841,,0.06666666666666667
720575940605841074,,74.76666666666667
720575940605842656,,119.96666666666667
720575940605877728,,61.166666666666664
720575940605882336,,73.03333333333333
720575940605883569,,227.93333333333334
720575940605891040,,38.733333333333334
720575940605925600,,0.03333333333333333
720575940605927904,,31.066666666666666
720575940605929394,,29.033333333333335
720575940605934001,,40.8
720575940605947569,,119.23333333333333
720575940605957809,,44.96666666666667
720575940605992369,,46.733333333333334
720575940605993649,,20.566666666666666
720575940605997257,,25.666666666666668
720575940606009801,,28.166666666666668
720575940606010057,,12.833333333333334
720575940606015154,,12.433333333333334
720575940606039241,,21.9
720575940606046892,,34.233333333333334
720575940606056905,,293.96666666666664
720575940606112940,,45.5
720575940606139308,,57.3
720575940606149321,,55.63333333333333
720575940606179686,,30.066666666666666
720575940606185858,,45.86666666666667
720575940606195657,,23.166666666666668
720575940606246334,,161.9
720575940606267659,,110.43333333333334
720575940606319794,,4.833333333333333
720575940606331996,,49.93333333333333
720575940606335106,,50.63333333333333
720575940606337312,,100.13333333333334
720575940606341250,,53.666666666666664
720575940606342089,,10.733333333333333
720575940606347394,,43.93333333333333
720575940606354633,,13.333333333333334
720575940606373321,,4.666666666666667
720575940606385440,,153.1
720575940606399068,,80.2
720575940606428850,,0.16666666666666666
720575940606436128,,79.86666666666666
720575940606452681,,52.266666666666666
720575940606453769,,39.13333333333333
720575940606454108,,54.766666666666666
720575940606464102,,0.2
720575940606477660,,36.333333333333336
720575940606483467,,65.1
720575940606483723,,51.733333333333334
720575940606498313,,60.56666666666667
720575940606514878,,80.53333333333333
720575940606514889,,16.966666666666665
720575940606548914,,0.06666666666666667
720575940606549961,,50.266666666666666
720575940606563249,,31.133333333333333
720575940606573490,,28.066666666666666
720575940606590338,,170.63333333333333
720575940606602674,,33.333333333333336
720575940606611977,,28.3
720575940606621362,,52.93333333333333
720575940606633248,,0.03333333333333333
720575940606649865,,100.3
720575940606662322,,61.06666666666667
720575940606663625,,51.93333333333333
720575940606664894,,182.96666666666667
720575940606667977,,47.43333333333333
720575940606675804,,59.03333333333333
