flyid,name,thermo_200Hz
720575940602564320,,38.1
720575940602605536,,35.166666666666664
720575940602977248,,180.9
720575940603050668,,43.766666666666666
720575940603111392,,23.166666666666668
720575940603231916,,129.86666666666667
720575940603317216,,41.833333333333336
720575940603455846,,62.3
720575940603464672,,230.43333333333334
720575940603556198,,4.666666666666667
720575940603642982,,35.63333333333333
720575940603673120,,17.6
720575940603674656,,50.36666666666667
720575940603721248,,37.0
720575940603751782,,63.6
720575940603820716,,137.36666666666667
720575940603832288,,6.333333333333333
720575940603882720,,48.233333333333334
720575940603883232,,64.7
720575940603885856,,21.866666666666667
720575940603899936,,0.7333333333333333
720575940603938238,,0.1
720575940603984486,,38.766666666666666
720575940603985952,,181.86666666666667
720575940604008672,,44.13333333333333
720575940604050110,,42.96666666666667
720575940604088288,,0.23333333333333334
720575940604093984,,58.1
720575940604103200,,41.166666666666664
720575940604126129,,14.333333333333334
720575940604131296,,48.5
720575940604132710,,89.83333333333333
720575940604284337,,2.033333333333333
720575940604341216,,32.96666666666667
720575940604352172,,202.56666666666666
720575940604352689,,5.166666666666667
720575940604398816,,132.73333333333332
720575940604402092,,70.13333333333334
720575940604403628,,35.8
720575940604407468,,119.83333333333333
720575940604414636,,53.333333333333336
720575940604418988,,2.3
720575940604431584,,128.16666666666666
720575940604456876,,42.56666666666667
720575940604466912,,75.2
720575940604470240,,17.333333333333332
720575940604478176,,58.1
720575940604479590,,79.83333333333333
720575940604493024,,88.16666666666667
720575940604500448,,14.7
720575940604552894,,17.133333333333333
720575940604557792,,74.66666666666667
720575940604568521,,29.933333333333334
720575940604569824,,22.9
720575940604620512,,29.166666666666668
720575940604626912,,39.166666666666664
720575940604630496,,71.06666666666666
720575940604663520,,100.76666666666667
720575940604682976,,10.333333333333334
720575940604690278,,0.16666666666666666
720575940604714208,,13.5
720575940604714464,,162.4
720575940604735660,,11.166666666666666
720575940604737708,,0.36666666666666664
720575940604766153,,73.93333333333334
720575940604783136,,63.56666666666667
720575940604806345,,40.666666666666664
720575940604808736,,0.13333333333333333
720575940604810016,,28.566666666666666
720575940604833196,,52.8
720575940604860332,,21.833333333333332
720575940604874208,,103.06666666666666
720575940604880841,,19.133333333333333
720575940604884396,,46.03333333333333
720575940604908972,,70.4
720575940604911793,,62.86666666666667
720575940604924606,,60.233333333333334
720575940604931249,,96.3
720575940604934572,,1.1666666666666667
720575940604935340,,22.866666666666667
720575940604941234,,48.9
720575940604961126,,76.26666666666667
720575940604961894,,44.63333333333333
720575940604962918,,55.63333333333333
720575940604963686,,59.1
720575940604963942,,49.666666666666664
720575940604974978,,52.666666666666664
720575940604978534,,28.4
720575940604985265,,29.9
720575940604991264,,69.6
720575940604994336,,25.933333333333334
720575940604997152,,62.06666666666667
720575940604999526,,24.433333333333334
720575940605000550,,12.4
720575940605007206,,90.0
720575940605028017,,68.93333333333334
720575940605029036,,127.9
720575940605030316,,29.2
720575940605031084,,23.033333333333335
720575940605032550,,77.9
720575940605037996,,8.533333333333333
720575940605039788,,2.4
720575940605060798,,76.86666666666666
720575940605078560,,121.96666666666667
720575940605083838,,53.333333333333336
720575940605102694,,148.86666666666667
720575940605113376,,47.96666666666667
720575940605154988,,47.4
720575940605171121,,5.2
720575940605180337,,63.56666666666667
720575940605180849,,29.3
720575940605184102,,54.833333333333336
720575940605196465,,30.933333333333334
720575940605197745,,45.766666666666666
720575940605221065,,10.933333333333334
720575940605236866,,59.6
720575940605252041,,44.36666666666667
720575940605264305,,137.3
720575940605280201,,54.43333333333333
720575940605290441,,43.333333333333336
720575940605305777,,18.0
720575940605309361,,82.9
720575940605309542,,40.6
720575940605312945,,56.9
720575940605338290,,34.766666666666666
720575940605362610,,53.766666666666666
720575940605376800,,19.133333333333333
720575940605383526,,87.46666666666667
720575940605391136,,50.733333333333334
720575940605391794,,32.03333333333333
720575940605396926,,48.2
720575940605400096,,134.93333333333334
720575940605407846,,48.03333333333333
720575940605410592,,81.63333333333334
720575940605411104,,63.13333333333333
720575940605412738,,80.33333333333333
720575940605420902,,93.36666666666666
720575940605421442,,70.13333333333334
720575940605427134,,93.76666666666667
720575940605431840,,76.63333333333334
720575940605451552,,41.63333333333333
720575940605452064,,27.133333333333333
720575940605480806,,29.2
720575940605488416,,51.766666666666666
720575940605494560,,5.9
720575940605507249,,38.9
720575940605513649,,2.2
720575940605520062,,20.0
720575940605528422,,55.6
720575940605530336,,1.2
720575940605541920,,46.233333333333334
720575940605544370,,50.266666666666666
720575940605551038,,48.36666666666667
720575940605551718,,32.53333333333333
720575940605552742,,27.333333333333332
720575940605565886,,13.5
720575940605583136,,49.9
720575940605606274,,52.733333333333334
720575940605619744,,63.1
720575940605620670,,32.766666666666666
720575940605620926,,77.0
720575940605621024,,46.03333333333333
720575940605625376,,68.4
720575940605625958,,60.03333333333333
720575940605627057,,40.53333333333333
720575940605641830,,18.7
720575940605658033,,34.96666666666667
720575940605664446,,15.8
720575940605664702,,90.4
720575940605678368,,76.9
720575940605686886,,18.2
720575940605688608,,113.0
720575940605702065,,29.566666666666666
720575940605702944,,7.833333333333333
720575940605705650,,81.83333333333333
720575940605718449,,65.6
720575940605725873,,0.6333333333333333
720575940605726385,,55.6
720575940605742002,,26.233333333333334
720575940605758142,,272.26666666666665
720575940605777841,,0.1
720575940605841074,,75.3
720575940605842656,,120.1
720575940605877728,,61.666666666666664
720575940605882336,,72.96666666666667
720575940605883569,,229.3
720575940605891040,,39.0
720575940605925600,,0.03333333333333333
720575940605927904,,31.233333333333334
720575940605929394,,29.4
720575940605934001,,40.8
720575940605947569,,119.46666666666667
720575940605957809,,46.0
720575940605992369,,46.9
720575940605993649,,20.933333333333334
720575940605997257,,25.633333333333333
720575940606009801,,28.4
720575940606010057,,12.766666666666667
720575940606015154,,12.366666666666667
720575940606039241,,21.733333333333334
720575940606046892,,29.466666666666665
720575940606056905,,296.06666666666666
720575940606112940,,45.53333333333333
720575940606139308,,57.03333333333333
720575940606149321,,56.0
720575940606179686,,30.3
720575940606185858,,46.36666666666667
720575940606195657,,25.0
720575940606246334,,162.9
720575940606267659,,111.06666666666666
720575940606319794,,5.133333333333334
720575940606331996,,49.6
720575940606335106,,51.03333333333333
720575940606337312,,100.56666666666666
720575940606341250,,53.666666666666664
720575940606342089,,10.733333333333333
720575940606347394,,44.06666666666667
720575940606354633,,13.533333333333333
720575940606373321,,5.1
720575940606385440,,154.26666666666668
720575940606399068,,80.56666666666666
720575940606428850,,0.36666666666666664
720575940606436128,,80.36666666666666
720575940606452681,,52.36666666666667
720575940606453769,,38.86666666666667
720575940606454108,,54.833333333333336
720575940606464102,,0.13333333333333333
720575940606477660,,36.63333333333333
720575940606483467,,65.26666666666667
720575940606483723,,51.766666666666666
720575940606498313,,60.86666666666667
720575940606514878,,80.73333333333333
720575940606514889,,17.333333333333332
720575940606548914,,1.1
720575940606549961,,50.4
720575940606563249,,31.3
720575940606573490,,28.333333333333332
720575940606590338,,171.6
720575940606602674,,33.8
720575940606611977,,28.066666666666666
720575940606621362,,53.166666666666664
720575940606649865,,100.83333333333333
720575940606662322,,61.733333333333334
720575940606663625,,52.36666666666667
720575940606664894,,183.93333333333334
720575940606667977,,47.8
720575940606675804,,59.3
720575940606679142,,41.0
720575940606680450,,53.0
720575940606687499,,83.8
720575940606700043,,23.166666666666668
720575940606705073,,82.83333333333333
720575940606715337,,68.13333333333334
720575940606722249,,281.8
720575940606725833,,59.833333333333336
720575940606726834,,39.56666666666667
720575940606729858,,38.56666666666667
720575940606730076,,30.866666666666667
720575940606745289,,35.733333333333334
720575940606747593,,45.86666666666667
720575940606751922,,241.9
720575940606756030,,34.0
720575940606756785,,103.43333333333334
720575940606757041,,103.06666666666666
720575940606761161,,80.1
720575940606762686,,194.1
720575940606767806,,105.6
720575940606769609,,119.73333333333333
720575940606769854,,141.56666666666666
720575940606773705,,67.73333333333333
720575940606775654,,43.56666666666667
720575940606776962,,19.2
720575940606796722,,24.8
720575940606806473,,38.5
720575940606833794,,72.7
720575940606835401,,12.366666666666667
720575940606853250,,47.3
720575940606864341,,42.7
720575940606865330,,9.733333333333333
720575940606891221,,68.63333333333334
720575940606892162,,36.9
720575940606893186,,16.5
720575940606909195,,51.733333333333334
720575940606940425,,68.86666666666666
720575940606941397,,49.266666666666666
720575940606947714,,35.766666666666666
720575940606953858,,72.16666666666667
720575940606954114,,70.5
720575940606954507,,58.0
720575940606963586,,64.06666666666666
720575940606967682,,60.8
720575940606967730,,76.76666666666667
720575940606968450,,19.633333333333333
720575940606968962,,46.766666666666666
720575940606987906,,14.566666666666666
720575940606999682,,59.166666666666664
720575940607010825,,32.43333333333333
720575940607011458,,0.9
720575940607012482,,44.03333333333333
720575940607038386,,4.6
720575940607040881,,64.66666666666667
720575940607041154,,40.36666666666667
720575940607043202,,12.133333333333333
720575940607128412,,4.7
720575940607146162,,37.53333333333333
720575940607177906,,57.2
720575940607180722,,85.76666666666667
720575940607185074,,54.1
720575940607206066,,1.5333333333333334
720575940607208882,,66.13333333333334
720575940607227826,,51.03333333333333
720575940607233458,,19.366666666666667
720575940607249365,,35.13333333333333
720575940607280306,,47.266666666666666
720575940607280818,,42.53333333333333
720575940607310531,,36.7
720575940607337155,,64.96666666666667
720575940607337923,,63.166666666666664
720575940607343829,,0.36666666666666664
720575940607351747,,36.8
720575940607352003,,42.46666666666667
720575940607375881,,13.7
720575940607384242,,3.433333333333333
720575940607439964,,123.5
720575940607447491,,0.3
720575940607451081,,59.96666666666667
720575940607471829,,32.266666666666666
720575940607484099,,95.3
720575940607539907,,37.333333333333336
720575940607626453,,32.0
720575940607667723,,68.63333333333334
720575940607674563,,27.233333333333334
720575940607687260,,74.23333333333333
720575940607715420,,51.93333333333333
720575940607721923,,37.833333333333336
720575940607722179,,35.833333333333336
720575940607763467,,27.733333333333334
720575940607765257,,0.06666666666666667
720575940607774044,,11.833333333333334
720575940607792139,,45.266666666666666
720575940607793675,,44.1
720575940607804939,,34.46666666666667
720575940607809547,,70.5
720575940607814492,,94.23333333333333
720575940607828233,,22.6
720575940607869788,,41.63333333333333
720575940607896265,,70.96666666666667
720575940607896843,,21.0
720575940607900867,,87.9
720575940607930716,,24.766666666666666
720575940607932885,,40.9
720575940607935154,,43.666666666666664
720575940607948483,,36.0
720575940607971908,,58.86666666666667
720575940607978820,,40.93333333333333
720575940607981636,,48.56666666666667
720575940607982428,,16.566666666666666
720575940607984651,,54.1
720575940607993668,,39.43333333333333
720575940608027915,,14.566666666666666
720575940608059484,,109.83333333333333
720575940608071435,,75.86666666666666
720575940608074370,,1.3666666666666667
720575940608098261,,9.033333333333333
720575940608116316,,0.43333333333333335
720575940608124338,,240.33333333333334
720575940608130606,,72.6
720575940608140380,,2.2333333333333334
720575940608144732,,38.733333333333334
720575940608145026,,0.1
720575940608145877,,71.73333333333333
720575940608152021,,26.366666666666667
720575940608158300,,63.46666666666667
720575940608158677,,24.366666666666667
720575940608168028,,0.3
720575940608176452,,69.53333333333333
720575940608176514,,35.766666666666666
720575940608177929,,61.333333333333336
720575940608177988,,25.6
720575940608186498,,12.166666666666666
720575940608188427,,101.43333333333334
720575940608192860,,78.4
720575940608199748,,177.93333333333334
720575940608200713,,98.03333333333333
720575940608207317,,22.066666666666666
720575940608214281,,40.86666666666667
720575940608235529,,82.3
720575940608237065,,43.4
720575940608241365,,219.06666666666666
720575940608252082,,207.96666666666667
720575940608285570,,76.56666666666666
720575940608286556,,33.833333333333336
720575940608293129,,262.93333333333334
720575940608295032,,40.6
720575940608328387,,25.466666666666665
720575940608328713,,38.03333333333333
720575940608336514,,11.533333333333333
720575940608336907,,1.5666666666666667
720575940608339209,,13.4
720575940608341806,,127.76666666666667
720575940608344331,,56.6
720575940608344412,,71.56666666666666
720575940608345778,,252.66666666666666
720575940608345867,,19.6
720575940608362418,,150.1
720575940608363844,,16.3
720575940608364124,,124.93333333333334
720575940608368818,,39.13333333333333
720575940608379915,,50.93333333333333
720575940608383243,,59.733333333333334
720575940608386315,,49.333333333333336
720575940608392796,,139.56666666666666
720575940608393739,,33.9
720575940608407049,,53.733333333333334
