flyid,name,thermo_5Hz
720575940602564320,,4.114473099789193
720575940602605536,,3.8564520251420507
720575940602977248,,18.953422440873897
720575940603050668,,4.918897798852457
720575940603111392,,2.569046515733026
720575940603231916,,13.977601129426084
720575940603317216,,4.454835076134196
720575940603455846,,6.636264009214822
720575940603464672,,24.26311787237759
720575940603556198,,1.5790292376436015
720575940603642982,,3.8616346567512343
720575940603673120,,2.00554786086551
720575940603674656,,5.519259209551787
720575940603721248,,3.9385558549070017
720575940603751782,,6.819986966426126
720575940603820716,,14.28398481594762
720575940603832288,,1.476105988365635
720575940603882720,,4.8971647125885225
720575940603883232,,6.675743820396013
720575940603885856,,2.414999424890661
720575940603899936,,0.6403124237432849
720575940603938238,,0.33993463423951903
720575940603984486,,4.177186719418811
720575940603985952,,18.828494953719012
720575940603988838,,0.1795054935711501
720575940604008672,,4.828618389928485
720575940604050110,,4.504812241740307
720575940604088288,,0.33993463423951903
720575940604093984,,6.174859422601368
720575940604103200,,4.234251868853445
720575940604126129,,1.7259457954666158
720575940604131296,,5.1428483245074315
720575940604132710,,9.361623790774761
720575940604284337,,0.8439325934114774
720575940604341216,,3.56277045756997
720575940604352172,,21.30333828821723
720575940604352689,,1.4220486005134363
720575940604398816,,13.90299727876451
720575940604402092,,7.614605848119929
720575940604403628,,3.910100879630715
720575940604407468,,12.555698130950564
720575940604412588,,0.24944382578492943
720575940604414636,,5.331249592939935
720575940604418988,,1.1254628677422756
720575940604431584,,13.369949721504398
720575940604456876,,4.1424630354415966
720575940604466912,,7.900773520499256
720575940604470240,,2.774687169554235
720575940604478176,,6.199372728125177
720575940604479590,,8.511169132381283
720575940604493024,,9.17660067781093
720575940604500448,,1.9102065042525873
720575940604552894,,1.849924923401548
720575940604557792,,7.6641300151347185
720575940604568521,,3.235222815613581
720575940604569824,,2.4
720575940604620512,,3.0675723300355937
720575940604626912,,4.238579426595137
720575940604630496,,7.468749709437465
720575940604663520,,10.793465101110433
720575940604682976,,1.57797338380595
720575940604690278,,0.6046119049072352
720575940604714208,,1.4177446878757827
720575940604714464,,17.3062609094705
720575940604735660,,1.9913702708325125
720575940604737708,,0.6110100926607788
720575940604766153,,7.877957998251972
720575940604770249,,0.1795054935711501
720575940604783136,,6.09635592428424
720575940604806345,,4.364503280888775
720575940604810016,,2.7016455890602837
720575940604833196,,5.715087245372744
720575940604860332,,2.4890872936792627
720575940604874208,,10.591610936124033
720575940604880841,,2.417758374105145
720575940604884396,,4.996554368317787
720575940604908972,,7.181457605064123
720575940604911793,,4.706968828827694
720575940604924606,,6.30705072826348
720575940604931249,,10.041524895264773
720575940604934572,,0.8198915917499229
